quadkey,shapeName,shapeISO,shapeID,shapeGroup,shapeType,pop_count,Predicted Relative Wealth Index,Predicted Wealth Category (quintile),Predicted Wealth Category (split-quintile),geometry
31011220203121,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,102.251936,-0.32614251865998456,E,E,"POLYGON ((124.03564453125 -9.340672181980946, 124.03564453125 -9.318990192397923, 124.0576171875 -9.318990192397923, 124.0576171875 -9.340672181980946, 124.03564453125 -9.340672181980946))"
31011220203123,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,992.492772,0.1447559201393492,C,C,"POLYGON ((124.03564453125 -9.362352822055612, 124.03564453125 -9.340672181980946, 124.0576171875 -9.340672181980946, 124.0576171875 -9.362352822055612, 124.03564453125 -9.362352822055612))"
31011220203130,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,118.8976,-0.31718538830078946,E,E,"POLYGON ((124.0576171875 -9.340672181980946, 124.0576171875 -9.318990192397923, 124.07958984375 -9.318990192397923, 124.07958984375 -9.340672181980946, 124.0576171875 -9.340672181980946))"
31011220203132,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,513.637632,0.07455815999209406,C,C,"POLYGON ((124.0576171875 -9.362352822055612, 124.0576171875 -9.340672181980946, 124.07958984375 -9.340672181980946, 124.07958984375 -9.362352822055612, 124.0576171875 -9.362352822055612))"
31011220203310,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,319.14094,-0.0210791963118972,C,C,"POLYGON ((124.0576171875 -9.384032109601685, 124.0576171875 -9.362352822055612, 124.07958984375 -9.362352822055612, 124.07958984375 -9.384032109601685, 124.0576171875 -9.384032109601685))"
31011220203312,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,41.089748,0.7565705461937821,A,A,"POLYGON ((124.0576171875 -9.405710041600031, 124.0576171875 -9.384032109601685, 124.07958984375 -9.384032109601685, 124.07958984375 -9.405710041600031, 124.0576171875 -9.405710041600031))"
31011220203131,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,584.976192,0.14324312544494722,C,C,"POLYGON ((124.07958984375 -9.340672181980946, 124.07958984375 -9.318990192397923, 124.1015625 -9.318990192397923, 124.1015625 -9.340672181980946, 124.07958984375 -9.340672181980946))"
31011220203133,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,242.551104,0.28986917974481563,C,B,"POLYGON ((124.07958984375 -9.362352822055612, 124.07958984375 -9.340672181980946, 124.1015625 -9.340672181980946, 124.1015625 -9.362352822055612, 124.07958984375 -9.362352822055612))"
31011220203311,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,9.511808,-0.16301614207931447,D,D,"POLYGON ((124.07958984375 -9.384032109601685, 124.07958984375 -9.362352822055612, 124.1015625 -9.362352822055612, 124.1015625 -9.384032109601685, 124.07958984375 -9.384032109601685))"
31011220203313,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,16.495832,-0.10925382025556976,D,C,"POLYGON ((124.07958984375 -9.405710041600031, 124.07958984375 -9.384032109601685, 124.1015625 -9.384032109601685, 124.1015625 -9.405710041600031, 124.07958984375 -9.405710041600031))"
31011220203331,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,851.14478,-0.2301745529720148,D,D,"POLYGON ((124.07958984375 -9.427386615032347, 124.07958984375 -9.405710041600031, 124.1015625 -9.405710041600031, 124.1015625 -9.427386615032347, 124.07958984375 -9.427386615032347))"
31011220212002,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,7.133856,-0.3512622258608042,E,E,"POLYGON ((124.1015625 -9.318990192397923, 124.1015625 -9.297306856327593, 124.12353515625 -9.297306856327593, 124.12353515625 -9.318990192397923, 124.1015625 -9.318990192397923))"
31011220212020,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,2.377952,-0.23968785792190395,D,D,"POLYGON ((124.1015625 -9.340672181980946, 124.1015625 -9.318990192397923, 124.12353515625 -9.318990192397923, 124.12353515625 -9.340672181980946, 124.1015625 -9.340672181980946))"
31011220212220,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,3.257164,0.5456830025020549,B,B,"POLYGON ((124.1015625 -9.427386615032347, 124.1015625 -9.405710041600031, 124.12353515625 -9.405710041600031, 124.12353515625 -9.427386615032347, 124.1015625 -9.427386615032347))"
31011220212003,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,828.411332,0.6529546544806337,B,B,"POLYGON ((124.12353515625 -9.318990192397923, 124.12353515625 -9.297306856327593, 124.1455078125 -9.297306856327593, 124.1455078125 -9.318990192397923, 124.12353515625 -9.318990192397923))"
